;article_name;authors;article_url;doi;volume_name;volumen_date;volume_url
381;Bank capital, the state contingency of banks’ assets and its role for the transmission of shocks;['[Kühl, Michael]'];https://www.sciencedirect.com/science/article/pii/S0164070417300782;https://doi.org/10.1016/j.jmacro.2017.02.006;Volume 54, Part B ;Pages 149-424 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PB
382;Macroprudential policy with convertible debt;['[Hollander, Hylton]'];https://www.sciencedirect.com/science/article/pii/S0164070417302720;https://doi.org/10.1016/j.jmacro.2017.07.003;Volume 54, Part B ;Pages 149-424 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PB
383;Global banking and the conduct of macroprudential policy in a monetary union;['[Poutineau, Jean-Christophe]', '[Vermandel, Gauthier]'];https://www.sciencedirect.com/science/article/pii/S016407041730160X;https://doi.org/10.1016/j.jmacro.2017.04.010;Volume 54, Part B ;Pages 149-424 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PB
384;Countercyclical capital rules for small open economies;['[Clancy, Daragh]', '[Merola, Rossana]'];https://www.sciencedirect.com/science/article/pii/S0164070417301593;https://doi.org/10.1016/j.jmacro.2017.04.009;Volume 54, Part B ;Pages 149-424 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PB
385;Monetary and macroprudential policy with foreign currency loans;['[Brzoza-Brzezina, Michał]', '[Kolasa, Marcin]', '[Makarski, Krzysztof]'];https://www.sciencedirect.com/science/article/pii/S0164070417302756;https://doi.org/10.1016/j.jmacro.2017.07.004;Volume 54, Part B ;Pages 149-424 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PB
386;Does foreign bank presence affect interest rate pass-through in emerging and developing economies?;['[Gopalan, Sasidaran]', '[Rajan, Ramkishen S.]'];https://www.sciencedirect.com/science/article/pii/S0164070417302719;https://doi.org/10.1016/j.jmacro.2017.06.010;Volume 54, Part B ;Pages 149-424 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PB
387;Financial development and occupational choice;['[Hill, Enoch]', '[Perez-Reyna, David]'];https://www.sciencedirect.com/science/article/pii/S0164070417302021;https://doi.org/10.1016/j.jmacro.2017.05.009;Volume 54, Part B ;Pages 149-424 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PB
388;Local growth and access to credit: Theory and evidence;['[Diallo, Boubacar]', '[Al-Titi, Omar]'];https://www.sciencedirect.com/science/article/pii/S0164070416301094;https://doi.org/10.1016/j.jmacro.2017.07.005;Volume 54, Part B ;Pages 149-424 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PB
389;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070417302987;https://doi.org/10.1016/S0164-0704(17)30298-7;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
390;Guest Editors’ Introduction: Monetary rules for a post-crisis world;['[Selgin, George]', '[Sumner, Scott]'];https://www.sciencedirect.com/science/article/pii/S0164070417302896;https://doi.org/10.1016/j.jmacro.2017.07.008;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
391;Remarks on monetary rules for a post-crisis World;['[Taylor, John B.]'];https://www.sciencedirect.com/science/article/pii/S0164070417300228;https://doi.org/10.1016/j.jmacro.2017.04.008;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
392;Economic ideas, the monetary order and the uneasy case for policy rules;['[Laidler, David]'];https://www.sciencedirect.com/science/article/pii/S0164070416300805;https://doi.org/10.1016/j.jmacro.2017.01.004;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
393;Rules versus discretion in monetary policy historically contemplated;['[Glasner, David]'];https://www.sciencedirect.com/science/article/pii/S0164070416301641;https://doi.org/10.1016/j.jmacro.2017.05.004;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
394;Circumventing the zero lower bound with monetary policy rules based on money;['[Belongia, Michael T.]', '[Ireland, Peter N.]'];https://www.sciencedirect.com/science/article/pii/S016407041630074X;https://doi.org/10.1016/j.jmacro.2017.01.007;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
395;The Yellen rules;['[Nikolsko-Rzhevskyy, Alex]', '[Papell, David H.]', '[Prodan, Ruxandra]'];https://www.sciencedirect.com/science/article/pii/S0164070416301422;https://doi.org/10.1016/j.jmacro.2017.06.004;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
396;A proposal to clarify the objectives and strategy of monetary policy;['[Hetzel, Robert L.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300714;https://doi.org/10.1016/j.jmacro.2017.03.004;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
397;Monetary policy rules in light of the great recession;['[Sumner, Scott]'];https://www.sciencedirect.com/science/article/pii/S0164070416301215;https://doi.org/10.1016/j.jmacro.2017.01.005;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
398;Next generation monetary policy;['[Kimball, Miles]'];https://www.sciencedirect.com/science/article/pii/S0164070417300393;https://doi.org/10.1016/j.jmacro.2017.06.002;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
399;Permanent versus temporary monetary base Injections: Implications for past and future Fed Policy;['[Beckworth, David]'];https://www.sciencedirect.com/science/article/pii/S0164070416301628;https://doi.org/10.1016/j.jmacro.2017.07.006;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
400;Conventional and unconventional monetary policy rules;['[Sheedy, Kevin D.]'];https://www.sciencedirect.com/science/article/pii/S0164070416302038;https://doi.org/10.1016/j.jmacro.2017.07.007;Volume 54, Part A ;Pages 1-148 (December 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/54/part/PA
401;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070417303646;https://doi.org/10.1016/S0164-0704(17)30364-6;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
402;Expectations and forecasting during the Great Depression: Real-time evidence from the business press;['[Mathy, Gabriel]', '[Stekler, Herman]'];https://www.sciencedirect.com/science/article/pii/S0164070416301446;https://doi.org/10.1016/j.jmacro.2017.05.006;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
403;Heterogeneous capital and misintermediation;['[Guo, Feng]', '[McCulloch, J.H.]'];https://www.sciencedirect.com/science/article/pii/S0164070417300186;https://doi.org/10.1016/j.jmacro.2017.05.001;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
404;Global macroeconomic uncertainty;['[Berger, Tino]', '[Grabert, Sibylle]', '[Kempa, Bernd]'];https://www.sciencedirect.com/science/article/pii/S0164070417300125;https://doi.org/10.1016/j.jmacro.2017.05.005;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
405;Indeterminate forecast accuracy under indeterminacy;['[Fanelli, Luca]', '[Sorge, Marco M.]'];https://www.sciencedirect.com/science/article/pii/S0164070416302397;https://doi.org/10.1016/j.jmacro.2017.05.007;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
406;The Publisher;[];https://www.sciencedirect.com/science/article/pii/S016407041730232X;https://doi.org/10.1016/j.jmacro.2017.06.003;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
407;Liberalization of product and labor markets: Efficiency and equity implications;['[Koliousi, Panagiota]', '[Miaouli, Natasha]', '[Philippopoulos, Apostolis]'];https://www.sciencedirect.com/science/article/pii/S0164070416300702;https://doi.org/10.1016/j.jmacro.2017.06.001;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
408;A quantitative theory of tax evasion;['[López, José Joaquín]'];https://www.sciencedirect.com/science/article/pii/S0164070417302379;https://doi.org/10.1016/j.jmacro.2017.06.005;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
409;Variability in the effects of uncertainty shocks: New stylized facts from OECD countries;['[Choi, Sangyup]'];https://www.sciencedirect.com/science/article/pii/S0164070417302513;https://doi.org/10.1016/j.jmacro.2017.06.006;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
410;Disinflation in steps and the Phillips curve: Israel 1986–2015;['[Melnick, Rafi]', '[Strohsal, Till]'];https://www.sciencedirect.com/science/article/pii/S0164070416302051;https://doi.org/10.1016/j.jmacro.2017.06.008;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
411;Heterogeneous expectations and the distribution of wealth;['[Acedański, Jan]'];https://www.sciencedirect.com/science/article/pii/S0164070417302574;https://doi.org/10.1016/j.jmacro.2017.06.009;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
412;Does one size fit all? The impact of cognitive skills on economic growth;['[Altinok, Nadir]', '[Aydemir, Abdurrahman]'];https://www.sciencedirect.com/science/article/pii/S0164070416301719;https://doi.org/10.1016/j.jmacro.2017.06.007;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
413;Endogenous growth cycles with financial intermediaries and entrepreneurial innovation;['[Sunaga, Miho]'];https://www.sciencedirect.com/science/article/pii/S0164070416302087;https://doi.org/10.1016/j.jmacro.2017.07.001;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
414;Short-run and long-run effects of capital taxation on innovation and economic growth;['[Chen, Ping-ho]', '[Chu, Angus C.]', '[Chu, Hsun]', '[Lai, Ching-chong]'];https://www.sciencedirect.com/science/article/pii/S0164070417300198;https://doi.org/10.1016/j.jmacro.2017.07.002;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
415;The cyclicality of fiscal policy: New evidence from unobserved components approach;['[Bashar, Omar H.M.N.]', '[Bhattacharya, Prasad Sankar]', '[Wohar, Mark E.]'];https://www.sciencedirect.com/science/article/pii/S0164070417303208;https://doi.org/10.1016/j.jmacro.2017.07.010;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
416;Panel cointegration estimates of the user cost elasticity;['[Schaller, Huntley]', '[Voia, Marcel]'];https://www.sciencedirect.com/science/article/pii/S0164070417300964;https://doi.org/10.1016/j.jmacro.2017.08.001;Volume 53 ;Pages 1-250 (September 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/53/suppl/C
417;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070417302045;https://doi.org/10.1016/S0164-0704(17)30204-5;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
418;Health capital accumulation, health insurance, and aggregate outcomes: A neoclassical approach;['[Kelly, Mark]'];https://www.sciencedirect.com/science/article/pii/S0164070416300908;https://doi.org/10.1016/j.jmacro.2017.02.003;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
419;Growing income inequality due to biased technological change;['[Perera-Tallo, Fernando]'];https://www.sciencedirect.com/science/article/pii/S0164070417300484;https://doi.org/10.1016/j.jmacro.2017.02.002;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
420;Inflation bias and markup shocks in a LAMP model with strategic interaction of monetary and fiscal policy;['[Albonico, Alice]', '[Rossi, Lorenza]'];https://www.sciencedirect.com/science/article/pii/S0164070417300526;https://doi.org/10.1016/j.jmacro.2017.02.004;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
421;Effectiveness of QE: An assessment of event-study evidence;['[Thornton, Daniel L.]'];https://www.sciencedirect.com/science/article/pii/S0164070417300939;https://doi.org/10.1016/j.jmacro.2017.03.001;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
422;Explaining the durable goods co-movement puzzle: A Bayesian approach;['[Dey, Jaya]', '[Tsai, Yi-Chan]'];https://www.sciencedirect.com/science/article/pii/S0164070416302166;https://doi.org/10.1016/j.jmacro.2016.12.005;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
423;Factor-biased public capital and private capital crowding out;['[Bom, Pedro R.D.]'];https://www.sciencedirect.com/science/article/pii/S016407041730109X;https://doi.org/10.1016/j.jmacro.2017.03.002;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
424;Immigration-induced effects of changes in size and skill distribution of the labor force on wages in the U.S.;['[Pandey, Manish]', '[Ray Chaudhuri, Amrita]'];https://www.sciencedirect.com/science/article/pii/S0164070417301106;https://doi.org/10.1016/j.jmacro.2017.03.003;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
425;Speculator-triggered crisis and interventions;['[Yi, Ming]'];https://www.sciencedirect.com/science/article/pii/S0164070417301246;https://doi.org/10.1016/j.jmacro.2017.03.005;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
426;Fiscal policy in a small open economy with cross-border labor mobility;['[Lim, Sokchea]', '[Mahbub Morshed, A.K.M.]'];https://www.sciencedirect.com/science/article/pii/S0164070417301301;https://doi.org/10.1016/j.jmacro.2017.04.001;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
427;Legal conflicts of interest of the revolving door;['[Brezis, Elise S.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300994;https://doi.org/10.1016/j.jmacro.2017.04.006;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
428;Flexible fiscal rules and countercyclical fiscal policy;['[Guerguil, Martine]', '[Mandon, Pierre]', '[Tapsoba, René]'];https://www.sciencedirect.com/science/article/pii/S0164070417301519;https://doi.org/10.1016/j.jmacro.2017.04.007;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
429;What determines misallocation in innovation? A study of regional innovation in China;['[Li, Hao-Chung]', '[Lee, Wen-Chieh]', '[Ko, Bo-Ting]'];https://www.sciencedirect.com/science/article/pii/S0164070417301489;https://doi.org/10.1016/j.jmacro.2017.04.005;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
430;Fed speak on main street: Central bank communication and household expectations;['[Binder, Carola]'];https://www.sciencedirect.com/science/article/pii/S0164070416302312;https://doi.org/10.1016/j.jmacro.2017.05.003;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
431;On the socially optimal density of coin and banknote series: Do production costs really matter?;['[Bouhdaoui, Yassine]', '[Van Hove, Leo]'];https://www.sciencedirect.com/science/article/pii/S0164070417301751;https://doi.org/10.1016/j.jmacro.2017.05.002;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
432;Misallocations and policy constraints on mergers in the modern manufacturing sector;['[Lee, Wen-Chieh]', '[Wang, Shinn-Shyr]'];https://www.sciencedirect.com/science/article/pii/S0164070416300532;https://doi.org/10.1016/j.jmacro.2017.04.002;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
433;Should the dangers of deflation be dismissed?;['[Eichengreen, Barry]', '[Park, Donghyun]', '[Shin, Kwanho]'];https://www.sciencedirect.com/science/article/pii/S0164070416301586;https://doi.org/10.1016/j.jmacro.2017.04.003;Volume 52 ;Pages 1-308 (June 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/52/suppl/C
434;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070417300654;https://doi.org/10.1016/S0164-0704(17)30065-4;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
435;Exchange rate uncertainty and firm investment plans evidence from Swiss survey data;['[Binding, Garret]', '[Dibiasi, Andreas]'];https://www.sciencedirect.com/science/article/pii/S016407041630180X;https://doi.org/10.1016/j.jmacro.2016.11.004;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
436;Optimal disaster-preventive expenditure in a dynamic and stochastic model;['[Motoyama, Takumi]'];https://www.sciencedirect.com/science/article/pii/S0164070416302026;https://doi.org/10.1016/j.jmacro.2016.11.005;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
437;Uncertainty and employment dynamics in the euro area and the US;['[Netšunajev, Aleksei]', '[Glass, Katharina]'];https://www.sciencedirect.com/science/article/pii/S0164070416302117;https://doi.org/10.1016/j.jmacro.2016.12.002;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
438;Output gains from accelerating core inflation;['[Mazumder, Sandeep]'];https://www.sciencedirect.com/science/article/pii/S0164070416302099;https://doi.org/10.1016/j.jmacro.2016.12.001;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
439;Labor supply of elderly people, fertility, and economic development;['[Hirazawa, Makoto]', '[Yakita, Akira]'];https://www.sciencedirect.com/science/article/pii/S0164070416302154;https://doi.org/10.1016/j.jmacro.2016.12.004;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
440;Costly financial intermediation and excess consumption volatility;['[Sapci, Ayse]'];https://www.sciencedirect.com/science/article/pii/S0164070416302142;https://doi.org/10.1016/j.jmacro.2016.12.003;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
441;What's so great about the Great Moderation?;['[Keating, John W.]', '[Valcarcel, Victor J.]'];https://www.sciencedirect.com/science/article/pii/S0164070416301999;https://doi.org/10.1016/j.jmacro.2016.11.006;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
442;Endogeneity bias and growth regressions;['[Hauk, William R.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300854;https://doi.org/10.1016/j.jmacro.2017.01.001;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
443;The (In)validity of the Ricardian equivalence theorem–findings from a representative German population survey;['[Hayo, Bernd]', '[Neumeier, Florian]'];https://www.sciencedirect.com/science/article/pii/S0164070417300265;https://doi.org/10.1016/j.jmacro.2017.01.003;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
444;Demographics and aggregate household saving in Japan, China, and India;['[Curtis, Chadwick C.]', '[Lugauer, Steven]', '[Mark, Nelson C.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300568;https://doi.org/10.1016/j.jmacro.2017.01.002;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
445;On the conditional effects of IMF program participation on output growth;['[Binder, Michael]', '[Bluhm, Marcel]'];https://www.sciencedirect.com/science/article/pii/S0164070417300277;https://doi.org/10.1016/j.jmacro.2017.01.006;Volume 51 ;Pages 1-214 (March 2017);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/51/suppl/C
446;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070416301859;https://doi.org/10.1016/S0164-0704(16)30185-9;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
447;Monetary transmission mechanism with firm turnover;['[Uusküla, Lenno]'];https://www.sciencedirect.com/science/article/pii/S0164070416300465;https://doi.org/10.1016/j.jmacro.2016.08.005;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
448;On the gains from monetary policy commitment under deep habits;['[Givens, Gregory E.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300477;https://doi.org/10.1016/j.jmacro.2016.08.006;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
449;Reserve requirements and the bank lending channel in China;['[Fungáčová, Zuzana]', '[Nuutilainen, Riikka]', '[Weill, Laurent]'];https://www.sciencedirect.com/science/article/pii/S0164070416300489;https://doi.org/10.1016/j.jmacro.2016.08.007;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
450;Credit supply shocks in the Netherlands;['[Duchi, Fabio]', '[Elbourne, Adam]'];https://www.sciencedirect.com/science/article/pii/S0164070416300507;https://doi.org/10.1016/j.jmacro.2016.09.001;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
451;On imperfect competition with occasionally binding cash-in-advance constraints;['[Dixon, Huw]', '[Pourpourides, Panayiotis M.]'];https://www.sciencedirect.com/science/article/pii/S016407041630057X;https://doi.org/10.1016/j.jmacro.2016.09.002;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
452;Does consumer confidence affect durable goods spending during bad and good economic times equally?;['[Ahmed, M. Iqbal]', '[Cassou, Steven P.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300490;https://doi.org/10.1016/j.jmacro.2016.08.008;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
453;Pollution externalities, endogenous health and the speed of convergence in an endogenous growth model;['[Klarl, Torben]'];https://www.sciencedirect.com/science/article/pii/S0164070416300672;https://doi.org/10.1016/j.jmacro.2016.09.003;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
454;The cardiovascular revolution and economic performance in the OECD countries;['[Hyclak, Thomas J.]', '[Skeels, Christopher L.]', '[Taylor, Larry W.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300775;https://doi.org/10.1016/j.jmacro.2016.09.005;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
455;The term structure of interest rates in an estimated New Keynesian policy model;['[Buncic, Daniel]', '[Lentner, Philipp]'];https://www.sciencedirect.com/science/article/pii/S0164070416300751;https://doi.org/10.1016/j.jmacro.2016.09.004;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
456;Inflationary effects of monetary policies in newly industrialized economies with cross-sectoral labor and capital immobility;['[Chakrabarti, Anindya S.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300842;https://doi.org/10.1016/j.jmacro.2016.09.006;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
457;A Model of economic mobility and the distribution of wealth;['[Fernholz, Ricardo T.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300921;https://doi.org/10.1016/j.jmacro.2016.09.008;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
458;The switch from patents to state-dependent prizes for technological innovation;['[Lin, Hwan C.]'];https://www.sciencedirect.com/science/article/pii/S0164070416300933;https://doi.org/10.1016/j.jmacro.2016.09.007;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
459;The macroeconomic effects of public investment: Evidence from advanced economies;['[Abiad (ADB), Abdul]', '[Furceri (IMF and University of Palermo), Davide]', '[Topalova (IMF), Petia]'];https://www.sciencedirect.com/science/article/pii/S0164070416300374;https://doi.org/10.1016/j.jmacro.2016.07.005;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
460;Trade partner diversification and growth: How trade links matter;['[Önder, Ali Sina]', '[Yilmazkuday, Hakan]'];https://www.sciencedirect.com/science/article/pii/S0164070416301240;https://doi.org/10.1016/j.jmacro.2016.10.003;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
461;International, intersectoral, or unobservable? Measuring R&D spillovers under weak and strong cross-sectional dependence;['[Mitze, Timo]', '[Naveed, Amjad]', '[Ahmad, Nisar]'];https://www.sciencedirect.com/science/article/pii/S0164070416301148;https://doi.org/10.1016/j.jmacro.2016.10.002;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
462;Relation between growth and unemployment in a model with labor-force participation and adverse labor institutions;['[Chen, Been-Lon]', '[Hsu, Mei]', '[Lai, Chih-Fang]'];https://www.sciencedirect.com/science/article/pii/S0164070416301264;https://doi.org/10.1016/j.jmacro.2016.10.004;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
463;Partial inflation indexation and long-run inflation targeting in a growing economy: A comparison of Calvo and Rotemberg pricing models;['[Basu, Parantap]', '[Sarkar, Agnirup]'];https://www.sciencedirect.com/science/article/pii/S0164070416301069;https://doi.org/10.1016/j.jmacro.2016.10.001;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
464;German labor market and fiscal reforms 1999–2008: Can they be blamed for intra-euro area imbalances?;['[Gadatsch, Niklas]', '[Stähler, Nikolai]', '[Weigert, Benjamin]'];https://www.sciencedirect.com/science/article/pii/S0164070416301434;https://doi.org/10.1016/j.jmacro.2016.11.002;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
465;Asymmetric preferences and monetary policy deviations;['[Scott, C. Patrick]'];https://www.sciencedirect.com/science/article/pii/S0164070416301720;https://doi.org/10.1016/j.jmacro.2016.11.003;Volume 50 ;Pages 1-346 (December 2016);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/50/suppl/C
